# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
SP-BTBD8	SPU_009678	SPU_009678-tr	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-BTG4	SPU_019385	SPU_019385-tr	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SP-BTK	SPU_012278	SPU_012278-tr	protein_coding	0	1	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0
SP-BTUB1	SPU_002788	SPU_002788-tr	protein_coding	0	5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0
SP-BTUB2	SPU_000061	SPU_000061-tr	protein_coding	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-BTUB2_1	SPU_001045	SPU_001045-tr	protein_coding	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
SP-BTUB3	SPU_000062	SPU_000062-tr	protein_coding	0	3	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2
SP-BTUB5	SPU_003894	SPU_003894-tr	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SP-BTUB6	SPU_007425	SPU_007425-tr	protein_coding	0	9	1	6	0	0	0	0	1	0	0	0	0	0	0	0	0	9	6
SP-BUB1	SPU_004518	SPU_004518-tr	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
SP-BUB3H	SPU_010856	SPU_010856-tr	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-BUD31	SPU_020191	SPU_020191-tr	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-BUD31_1	SPU_001541	SPU_001541-tr	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
SP-BVES	SPU_009900	SPU_009900-tr	protein_coding	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
SP-BXDC1	SPU_017333	SPU_017333-tr	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
SP-BYSL	SPU_024260	SPU_024260-tr	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SP-BZRAP1L	SPU_012254	SPU_012254-tr	protein_coding	3	1	6	3	0	0	0	4	6	0	0	0	1	0	3	0	0	0	0
SP-C-LECTIN/PMC1	SPU_027906	SPU_027906-tr	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
SP-C10ORF112	SPU_024660	SPU_024660-tr	protein_coding	0	0	0	13	0	5	0	0	0	0	0	0	0	0	0	0	0	0	8
SP-C10ORF112L	SPU_008222	SPU_008222-tr	protein_coding	0	3	3	4	0	0	0	4	3	0	0	0	0	0	0	0	0	3	0
SP-C10ORF119L	SPU_002447	SPU_002447-tr	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
SP-C10ORF123L	SPU_026433	SPU_026433-tr	protein_coding	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
SP-C10ORF134L	SPU_000632	SPU_000632-tr	protein_coding	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4
SP-C10ORF137L	SPU_016219	SPU_016219-tr	protein_coding	0	3	11	0	0	0	0	0	11	0	0	0	0	0	0	0	0	3	0
SP-C10ORF42	SPU_016893	SPU_016893-tr	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
SP-C10ORF59L	SPU_018017	SPU_018017-tr	protein_coding	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4
SP-C10ORF76L	SPU_008881	SPU_008881-tr	protein_coding	4	0	5	0	0	0	0	0	5	0	0	0	0	0	2	2	0	0	0
SP-C10ORF79L	SPU_002850	SPU_002850-tr	protein_coding	0	4	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	4	0
SP-C10ORF88L	SPU_006175	SPU_006175-tr	protein_coding	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
SP-C10ORF93	SPU_012923	SPU_012923-tr	protein_coding	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
SP-C10ORF93L	SPU_000056	SPU_000056-tr	protein_coding	0	7	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0
SP-C11ORF30L	SPU_010095	SPU_010095-tr	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
SP-C12ORF10L	SPU_026818	SPU_026818-tr	protein_coding	0	3	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0
SP-C12ORF11L	SPU_015622	SPU_015622-tr	protein_coding	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2
SP-C12ORF26	SPU_027830	SPU_027830-tr	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
SP-C12ORF30	SPU_006994	SPU_006994-tr	protein_coding	0	0	0	31	0	1	0	5	0	0	0	0	0	0	0	0	0	0	25
SP-C12ORF44L	SPU_015422	SPU_015422-tr	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-C12ORF51L	SPU_019383	SPU_019383-tr	protein_coding	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-C12ORF51L_2	SPU_021278	SPU_021278-tr	protein_coding	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0
SP-C12ORF51_2	SPU_019461	SPU_019461-tr	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SP-C12ORF56L	SPU_005874	SPU_005874-tr	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-C12ORF63L	SPU_005605	SPU_005605-tr	protein_coding	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6
SP-C12ORF63L	SPU_017584	SPU_017584-tr	protein_coding	1	5	11	4	0	0	0	0	11	0	0	0	0	0	1	0	0	5	4
SP-C12ORF70	SPU_006144	SPU_006144-tr	protein_coding	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0
SP-C14ORF100L	SPU_006838	SPU_006838-tr	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-C14ORF102L	SPU_014437	SPU_014437-tr	protein_coding	0	5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0
SP-C14ORF159L	SPU_020055	SPU_020055-tr	protein_coding	0	6	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0
SP-C14ORF166B	SPU_005282	SPU_005282-tr	protein_coding	0	3	0	5	0	0	0	6	0	0	0	0	1	0	0	0	0	2	0
SP-C14ORF169L	SPU_012662	SPU_012662-tr	protein_coding	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
SP-C14ORF45	SPU_010492	SPU_010492-tr	protein_coding	0	1	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SP-C15ORF33	SPU_025994	SPU_025994-tr	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SP-C15ORF33L	SPU_021369	SPU_021369-tr	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SP-C16ORF48L	SPU_014008	SPU_014008-tr	protein_coding	0	14	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	14	3
SP-C16ORF58	SPU_025294	SPU_025294-tr	protein_coding	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
SP-C16ORF70L	SPU_026953	SPU_026953-tr	protein_coding	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
SP-C16ORF7L	SPU_018390	SPU_018390-tr	protein_coding	1	2	3	0	0	0	0	0	3	0	0	0	0	0	0	1	1	1	0
SP-C17ORF59L	SPU_000783	SPU_000783-tr	protein_coding	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-C17ORF66L	SPU_004993	SPU_004993-tr	protein_coding	0	5	6	3	0	0	0	0	6	0	0	0	0	0	0	0	0	5	3
SP-C17ORF71	SPU_007173	SPU_007173-tr	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
SP-C18ORF51L	SPU_001425	SPU_001425-tr	protein_coding	0	7	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0
SP-C19ORF2	SPU_001722	SPU_001722-tr	protein_coding	0	0	1	3	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0
SP-C19ORF50L	SPU_021073	SPU_021073-tr	protein_coding	0	0	4	1	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0
SP-C19ORF61	SPU_012152	SPU_012152-tr	protein_coding	0	1	4	1	0	0	0	1	4	0	0	0	0	0	0	0	0	1	0
SP-C1D	SPU_012206	SPU_012206-tr	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-C1GALT1	SPU_016693	SPU_016693-tr	protein_coding	0	3	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0
SP-C1GALT1_3	SPU_023547	SPU_023547-tr	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SP-C1ORF102L	SPU_009455	SPU_009455-tr	protein_coding	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-C1ORF125	SPU_005719	SPU_005719-tr	protein_coding	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
SP-C1ORF173L	SPU_020097	SPU_020097-tr	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
SP-C1ORF222L	SPU_008490	SPU_008490-tr	protein_coding	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
SP-C1ORF25	SPU_017240	SPU_017240-tr	protein_coding	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
SP-C1ORF27L	SPU_007362	SPU_007362-tr	protein_coding	0	3	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0
SP-C1ORF84L	SPU_012304	SPU_012304-tr	protein_coding	0	2	6	3	0	3	0	0	6	0	0	0	0	0	0	0	0	2	0
SP-C1ORF85L	SPU_015538	SPU_015538-tr	protein_coding	0	4	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0
SP-C1ORF9L	SPU_004147	SPU_004147-tr	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SP-C1QBP	SPU_018978	SPU_018978-tr	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-C1QL	SPU_005500	SPU_005500-tr	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-C1QL_1	SPU_006578	SPU_006578-tr	protein_coding	0	13	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	0
SP-C1QL_7	SPU_015699	SPU_015699-tr	protein_coding	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8
SP-C1QL_8	SPU_015700	SPU_015700-tr	protein_coding	0	4	14	0	0	0	0	0	14	0	0	0	0	0	0	0	0	4	0
SP-C20ORF12L	SPU_009662	SPU_009662-tr	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SP-C20ORF152	SPU_002007	SPU_002007-tr	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SP-C20ORF152L	SPU_016829	SPU_016829-tr	protein_coding	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
SP-C20ORF3	SPU_002510	SPU_002510-tr	protein_coding	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0
SP-C20ORF3_1	SPU_019647	SPU_019647-tr	protein_coding	0	5	3	1	0	0	0	1	3	0	0	0	1	0	0	0	0	5	0
SP-C20ORF4	SPU_017206	SPU_017206-tr	protein_coding	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
SP-C20ORF54L_1	SPU_015475	SPU_015475-tr	protein_coding	0	2	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0
SP-C20ORF54L_2	SPU_024680	SPU_024680-tr	protein_coding	0	2	2	3	1	0	0	2	2	0	0	0	0	0	0	0	0	2	0
SP-C20ORF54L_3	SPU_004982	SPU_004982-tr	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
SP-C20ORF59L	SPU_016446	SPU_016446-tr	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
SP-C20ORF7L	SPU_000555	SPU_000555-tr	protein_coding	0	1	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0
SP-C21ORF57	SPU_021655	SPU_021655-tr	protein_coding	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0
SP-C21ORF66L	SPU_012736	SPU_012736-tr	protein_coding	0	8	5	1	0	0	0	1	5	0	0	0	0	0	0	0	0	8	0
SP-C22ORF28	SPU_004612	SPU_004612-tr	protein_coding	0	8	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	7	0
SP-C22ORF9L	SPU_001442	SPU_001442-tr	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SP-C2CD3_2	SPU_026097	SPU_026097-tr	protein_coding	0	20	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	20	0
SP-C2GNT3_1	SPU_003134	SPU_003134-tr	protein_coding	0	11	0	1	0	0	0	3	0	0	0	0	2	0	0	0	0	9	0
SP-C2ORF18L	SPU_002843	SPU_002843-tr	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
SP-C2ORF39	SPU_024876	SPU_024876-tr	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
SP-C2ORF39L	SPU_024874	SPU_024874-tr	protein_coding	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
SP-C2ORF43L	SPU_002288	SPU_002288-tr	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SP-C2ORF56	SPU_018788	SPU_018788-tr	protein_coding	0	5	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	5	0
SP-C2ORF69L	SPU_022467	SPU_022467-tr	protein_coding	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
SP-C2ORF81L	SPU_014012	SPU_014012-tr	protein_coding	0	1	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17
SP-C3-2	SPU_000997	SPU_000997-tr	protein_coding	0	4	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0
SP-C3ORF1	SPU_017755	SPU_017755-tr	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
SP-C3ORF15	SPU_004471	SPU_004471-tr	protein_coding	0	9	1	7	0	0	0	0	1	0	0	0	0	0	0	0	0	9	7
SP-C3ORF16L	SPU_016482	SPU_016482-tr	protein_coding	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
SP-C3ORF20L	SPU_019923	SPU_019923-tr	protein_coding	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
SP-C3ORF21	SPU_022071	SPU_022071-tr	protein_coding	0	1	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3
SP-C3ORF21_1	SPU_022073	SPU_022073-tr	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SP-C3ORF32L	SPU_013218	SPU_013218-tr	protein_coding	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-C3ORF37L	SPU_012777	SPU_012777-tr	protein_coding	0	4	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0
SP-C3ORF39	SPU_013489	SPU_013489-tr	protein_coding	0	9	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	9	0
SP-C3ORF39	SPU_013490	SPU_013490-tr	protein_coding	0	0	0	16	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-C3ORF44L	SPU_027681	SPU_027681-tr	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
SP-C3ORF44L_1	SPU_027680	SPU_027680-tr	protein_coding	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0
SP-C3ORF48L	SPU_012114	SPU_012114-tr	protein_coding	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
SP-C3ORF58	SPU_017500	SPU_017500-tr	protein_coding	0	12	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	12	0
SP-C3ORF58L	SPU_011874	SPU_011874-tr	protein_coding	0	7	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0
SP-C3ORF63L	SPU_008122	SPU_008122-tr	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SP-C4BPAL_1	SPU_020538	SPU_020538-tr	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
SP-C4MSO	SPU_018974	SPU_018974-tr	protein_coding	0	8	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0
SP-C4ORF14L	SPU_005891	SPU_005891-tr	protein_coding	0	3	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0
SP-C4ORF29L	SPU_017410	SPU_017410-tr	protein_coding	0	2	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2
SP-C4ORF41	SPU_022589	SPU_022589-tr	protein_coding	0	5	0	11	0	11	0	0	0	0	0	0	0	0	0	0	0	5	0
SP-C4ORF41_1	SPU_022985	SPU_022985-tr	protein_coding	0	1	5	10	0	0	0	10	5	0	0	0	0	0	0	0	0	1	0
SP-C4ORF41_2	SPU_028464	SPU_028464-tr	protein_coding	0	7	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	6	0
SP-C5ORF21	SPU_020560	SPU_020560-tr	protein_coding	0	7	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0
SP-C5ORF22L	SPU_009274	SPU_009274-tr	protein_coding	0	3	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0
SP-C5ORF33	SPU_005304	SPU_005304-tr	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
SP-C5ORF33_1	SPU_027421	SPU_027421-tr	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
SP-C5ORF42L	SPU_000794	SPU_000794-tr	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-C6ORF103L	SPU_013387	SPU_013387-tr	protein_coding	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
SP-C6ORF118L	SPU_014729	SPU_014729-tr	protein_coding	0	1	2	3	0	3	0	0	2	0	0	0	0	0	0	0	0	1	0
SP-C6ORF134	SPU_020367	SPU_020367-tr	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SP-C6ORF165L	SPU_013875	SPU_013875-tr	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SP-C6ORF167L	SPU_028223	SPU_028223-tr	protein_coding	0	6	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0
SP-C6ORF192L	SPU_002269	SPU_002269-tr	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SP-C6ORF192L_1	SPU_002557	SPU_002557-tr	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
SP-C6ORF192L_2	SPU_006600	SPU_006600-tr	protein_coding	0	0	9	7	0	0	0	1	9	0	0	0	0	0	0	0	0	0	6
SP-C6ORF199L	SPU_019556	SPU_019556-tr	protein_coding	0	1	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0
SP-C6ORF211	SPU_020066	SPU_020066-tr	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
SP-C6ORF224L	SPU_020625	SPU_020625-tr	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-C6ORF60	SPU_026134	SPU_026134-tr	protein_coding	0	6	1	4	0	4	0	0	1	0	0	0	0	0	0	0	0	6	0
SP-C6ORF70	SPU_018020	SPU_018020-tr	protein_coding	0	4	1	5	0	0	0	0	1	0	0	0	0	0	0	0	0	4	5
SP-C6ORF84L	SPU_014663	SPU_014663-tr	protein_coding	0	7	3	1	0	0	0	1	3	0	0	0	1	0	0	0	0	7	0
SP-C6ORF94L	SPU_028027	SPU_028027-tr	protein_coding	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-C6ORG186L	SPU_007788	SPU_007788-tr	protein_coding	0	11	0	3	0	0	0	5	0	0	0	0	2	0	0	0	0	9	0
SP-C6ST	SPU_019735	SPU_019735-tr	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SP-C6ST_1	SPU_010032	SPU_010032-tr	protein_coding	0	4	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	3	0
SP-C7ORF20	SPU_011939	SPU_011939-tr	protein_coding	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0
SP-C7ORF25	SPU_028095	SPU_028095-tr	protein_coding	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
SP-C7ORF26L	SPU_013610	SPU_013610-tr	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SP-C7ORF26L_1	SPU_025029	SPU_025029-tr	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SP-C7ORF27L	SPU_002083	SPU_002083-tr	protein_coding	0	1	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0
SP-C7ORF42	SPU_024428	SPU_024428-tr	protein_coding	0	4	1	3	0	3	0	0	1	0	0	0	0	0	0	0	0	4	0
SP-C7ORF43L	SPU_002904	SPU_002904-tr	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SP-C7ORF58L	SPU_003412	SPU_003412-tr	protein_coding	0	3	1	2	0	0	0	3	1	0	0	0	1	0	0	0	0	2	0
SP-C7ORF63	SPU_005756	SPU_005756-tr	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
SP-C7ORF63_1	SPU_015172	SPU_015172-tr	protein_coding	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0
SP-C7ORF67L	SPU_025939	SPU_025939-tr	protein_coding	0	0	6	12	0	0	0	12	6	0	0	0	0	0	0	0	0	0	0
SP-C9ORF102L	SPU_016306	SPU_016306-tr	protein_coding	0	1	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0
SP-C9ORF114	SPU_013581	SPU_013581-tr	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SP-C9ORF126	SPU_008608	SPU_008608-tr	protein_coding	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
SP-C9ORF127L	SPU_013127	SPU_013127-tr	protein_coding	0	5	2	10	0	0	0	10	2	0	0	0	0	0	0	0	0	5	0
SP-C9ORF41	SPU_024783	SPU_024783-tr	protein_coding	0	0	0	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-C9ORF56L	SPU_024998	SPU_024998-tr	protein_coding	0	3	4	3	0	3	0	0	4	0	0	0	0	0	0	0	0	3	0
SP-C9ORF72L	SPU_023156	SPU_023156-tr	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
SP-C9ORF78L	SPU_001542	SPU_001542-tr	protein_coding	0	0	0	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6
SP-C9ORF93L	SPU_002216	SPU_002216-tr	protein_coding	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-CABIN1L	SPU_014369	SPU_014369-tr	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
SP-CABPF	SPU_011038	SPU_011038-tr	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
SP-CACNA1GL	SPU_019787	SPU_019787-tr	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
SP-CACNA1H	SPU_005163	SPU_005163-tr	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
SP-CACYBP	SPU_013647	SPU_013647-tr	protein_coding	0	1	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0
SP-CADHERIN	SPU_015210	SPU_015210-tr	protein_coding	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2
SP-CADHERINL2	SPU_004074	SPU_004074-tr	protein_coding	0	11	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	11	0
SP-CADHERINL3	SPU_008380	SPU_008380-tr	protein_coding	0	0	0	9	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2
SP-CADHERINL5	SPU_013476	SPU_013476-tr	protein_coding	0	0	3	13	0	7	0	6	3	0	0	0	0	0	0	0	0	0	0
SP-CADHERINL6	SPU_014606	SPU_014606-tr	protein_coding	0	6	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0
SP-CADHERIN_2	SPU_017039	SPU_017039-tr	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
SP-CADHERIN_6	SPU_025622	SPU_025622-tr	protein_coding	0	1	1	9	0	2	0	0	1	0	0	0	0	0	0	0	0	1	7
SP-CADHERIN_7	SPU_026595	SPU_026595-tr	protein_coding	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-CADHERIN_9	SPU_027356	SPU_027356-tr	protein_coding	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
SP-CADPS	SPU_008277	SPU_008277-tr	protein_coding	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0
SP-CAF1	SPU_021558	SPU_021558-tr	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SP-CAH10L	SPU_004135	SPU_004135-tr	protein_coding	0	2	3	2	0	2	0	0	3	0	0	0	4	0	0	0	0	2	0
SP-CALM2	SPU_021511	SPU_021511-tr	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
SP-CALPN	SPU_015595	SPU_015595-tr	protein_coding	0	4	0	14	0	0	0	14	0	0	0	0	0	0	0	0	0	4	0
SP-CALR	SPU_004887	SPU_004887-tr	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
